JD            RV      err    res    comp
2446630.337    7.97    0.74   -0.25 a
2446630.337    4.33    1.16    1.22 b
2446636.313    6.52    1.89   -1.76 a
2446636.313    5.32    2.93    2.28 b
2447012.308   16.37    0.65    0.58 a
2447012.308   -5.81    0.76   -0.75 b
2447022.393   17.48    0.41    1.04 a
2447022.393   -5.45    0.60    0.30 b
2447023.343   17.14    0.42    0.64 a
2447023.343   -5.40    0.61    0.42 b
2447299.401    1.90    0.35    0.78 a
2447299.401    9.46    0.50   -1.29 b
2447368.406    6.06    9.26    3.64 a
2447371.359    6.01    9.25    3.54 a
2447680.435    5.45    9.24   -0.76 a
2447754.275    6.31    9.22   -0.64 a
2447757.297    6.09    9.12   -0.89 a
2447759.324    6.37    9.12   -0.63 a
2447776.474    6.47    9.15   -0.71 a
2448109.358   11.46    0.14    0.17 a
2448109.358    0.28    0.20    0.49 b
2448115.512   10.25    0.26   -1.15 a
2448115.512   -2.09    9.37   -1.76 b
2448167.242   12.43    0.28   -0.06 a
2448167.242   -0.88    0.43    0.61 b
2448173.223   13.02    0.27    0.39 a
2448173.223   -1.72    0.42   -0.07 b
2448372.446   -7.59    0.22   -0.15 a
2448372.446   20.41    0.35    0.44 b
2448387.339   -5.98    0.19   -0.31 a
2448387.339   17.84    0.29   -0.22 b
2448738.464    7.16    0.48   -0.32 b
2448738.464    3.82    0.71   -0.33 a
2448841.381    6.28    9.13    0.96 a
2449121.483    8.88    0.31    0.69 a
2449121.483    1.55    9.50   -1.58 b
2449389.555   12.00    0.23    0.06 a
2449389.555   -0.68    0.36    0.23 b
2449424.545   12.59    0.28   -0.16 a
2449424.545   -1.78    0.45    0.00 b
2449450.461   13.64    0.37    0.16 a
2449450.461   -1.33    0.63    1.24 b
2449484.437   15.02    0.24    0.29 a
2449484.437   -4.05    0.36   -0.14 b
2449561.411   22.49    0.20   -0.38 a
2449561.411  -12.26    0.36    0.41 b
2449563.513   23.75    0.23    0.27 a
2449563.513  -12.08    0.47    1.26 b
2449564.306   23.85    0.15    0.15 a
2449564.306  -13.34    0.30    0.23 b
2449565.348   23.84    0.21   -0.08 a
2449565.348  -13.61    0.39    0.20 b
2449567.291   23.61    0.24   -0.10 a
2449567.291  -13.10    0.37    0.48 b
2449570.338   -2.88    0.40    0.13 a
2449570.338   15.59    0.66    0.39 b
2449571.330  -61.70    0.20   -0.06 a
2449571.330   78.44    0.36    0.09 b
2449571.522  -63.33    9.28    1.59 a
2449571.522   83.40    9.33    1.51 b
2449573.334  -47.01    0.22   -0.26 a
2449573.334   61.63    0.39   -0.68 b
2449573.527  -45.20    0.21   -0.08 a
2449573.527   60.47    0.45   -0.09 b
2449574.252   55.53    0.40    0.40 b
2449574.252  -39.05    9.23    1.04 a
2449574.432  -39.17    0.22   -0.12 a
2449574.432   54.68    0.31    0.66 b
2449576.426  -30.95    0.20   -0.02 a
2449576.426   45.07    0.20   -0.21 b
2449587.433  -18.09    9.34   -1.62 a
2449587.433   28.03    9.58   -1.66 b
2449649.168   -5.13    0.25   -0.77 a
2449649.168   16.69    0.41    0.04 b
2450759.167   16.58    0.24    0.36 a
2450785.132   18.57    0.32    0.09 a
2450785.132   -9.33    0.46   -1.38 b
2450798.132   20.62    0.32    0.18 a
2450798.132   -9.73    0.40    0.33 b
2450812.122   22.42    0.28   -1.51 a
2450812.122  -11.55    0.40    2.28 b
2450812.126   23.86    0.21   -0.08 a
2450812.126  -12.87    0.28    0.96 b
2450829.124  -20.43    0.32    0.05 a
2450829.129   34.55    0.37    0.54 b
2452050.415   21.17    0.25   -0.50 a
2452051.367   22.00    0.16    0.09 a
2452051.419   21.60    0.19   -0.33 a
2452053.314   22.61    0.17    0.17 a
2452053.388   22.24    0.22   -0.22 a
2452055.314   23.36    0.25    0.33 a
2452058.327   23.82    0.19   -0.03 a
2452062.379   19.53    0.18   -0.39 a
2452062.468   19.89    0.24    0.48 a
2452063.311    9.11    0.15    0.01 a
2452063.311   10.06    1.27    0.96 a
2452064.330  -42.63    0.21    0.25 a
2452064.371  -45.08    0.28    0.65 a
2452064.430  -49.67    0.18   -0.06 a
2452064.492  -53.53    0.35   -0.26 a
2452064.492  -53.18    0.26    0.09 a
2452065.295  -62.49    0.27    0.53 a
2452065.355  -62.37    0.21   -0.07 a
2452065.401  -62.26    0.20   -0.53 a
2452066.363  -49.41    0.23    0.50 a
2452066.462  -49.31    0.31   -0.39 a
2452067.393  -41.41    0.71    0.04 a
2452069.313  -31.65    0.46    0.80 a
2452073.424  -24.29    0.35   -0.89 a
2452075.434  -22.35    1.28   -1.48 a
2452076.449  -21.26    1.27   -1.43 a
2452099.367  -10.14    0.22   -0.39 a
2452201.157   -0.52    1.23    0.76 a
2452050.415  -11.37    0.83    0.02 b
2452051.367  -12.13    0.27   -0.48 b
2452051.419  -12.91    0.27   -1.25 b
2452053.314  -12.53    0.24   -0.31 b
2452053.388  -14.24    1.35   -2.00 b
2452055.314  -12.92    0.33   -0.07 b
2452058.327  -13.80    0.33   -0.06 b
2452062.379  -10.48    0.25   -0.98 b
2452062.468   -9.29    0.36   -0.34 b
2452063.311    1.57    0.21   -0.58 b
2452063.311    2.41    0.40    0.26 b
2452064.288   55.92    0.31    1.03 b
2452064.330   58.53    0.30    0.38 b
2452064.371   61.65    0.22    0.43 b
2452064.430   65.32    0.32   -0.07 b
2452064.492   68.34    0.47   -1.00 b
2452065.295   80.04    0.34    0.21 b
2452065.355   78.15    0.31   -0.91 b
2452065.401   78.52    0.33    0.08 b
2452066.363   65.64    0.39   -0.08 b
2452066.462   65.32    0.40    0.67 b
