date,rho,rho_err,PA,PA_err
2001.910,286,1,198.1,0.1
2002.162,275.4,1.5,197.9,0.2
2003.05,225,5,195.0,1.5
2003.195,217,1,196.8,0.1
2004.02,159,2,194,1
2004.95,93,2,189.5,0.4
2008.88,218,2,20.3,0.3
2008.88,218,2,20.3,0.3
2009.13,231,2,19.2,0.3
2009.90,269,3,18.6,1.0
2009.98,272,3,19.2,1.0
2010.10,284,3,18.5,0.6
2010.81,297,3,19.4,0.3
2011.67,303,3,18.1,1.0
2011.87,295,4,18.5,0.3
2012.01,307,3,18.2,0.3
2014.629,244,1,16.8,0.1
2014.746,239,1,16.4,0.2
2014.746,240,1,16.1,0.2
2015.653,199,1,15.6,0.1
2015.653,198,1,15.6,0.1
2015.653,199,1,15.6,0.2
2015.653,200,1,15.6,0.1
