date      ,  rv     , err
43578.641 ,  27.250 , .680
43591.613 ,  28.040 , .610
43631.521 ,  30.800 , .830
43686.390 ,  33.750 , .750
43908.694 ,  29.470 , .790
43996.501 ,  34.810 , .780
44024.440 ,  36.310 , .570
44042.420 ,  37.070 , .760
44053.380 ,  37.910 , .830
44307.656 ,  34.990 , .770
44341.571 ,  36.520 , .780
43918.672 ,  28.960 , .650
44690.552 ,  38.240 , .510
45001.730 ,  36.270 , .660
45044.641 ,  13.930 , .560
45130.422 ,  27.490 , .730
45152.383 ,  30.470 , .590
45413.611 ,  26.180 , .460
45437.585 ,  27.680 , .520
45449.524 ,  28.050 , .620
45466.479 ,  28.900 , .450
45476.530 ,  30.800 , .670
45728.740 ,  26.210 , .470
45763.694 ,  28.520 , .620
45782.615 ,  30.130 , .590
46133.650 ,  31.070 , .500
46212.426 ,  37.910 , .700
46220.405 ,  37.840 , .630
46267.353 ,  6.500 , .920
46268.346 ,  6.580 , .770
46268.356 ,  6.050 , .770
46271.357 ,  9.630 , .570
46272.355 ,  9.400 , .520
46274.347 ,  11.930 , .610
46278.334 ,  12.640 , .620
46279.342 ,  13.270 , .680
46269.345 ,  7.290 , .630
46519.571 ,  36.560 , .540
46521.618 ,  37.110 , .500
46540.557 ,  38.410 , .510
46551.513 ,  36.080 , .530
46552.492 ,  34.020 , .450
46560.473 ,  23.410 , .440
46561.475 ,  19.070 , .540
46563.485 ,  11.780 , .410
46564.489 ,  8.180 , .450
46568.454 ,  1.200 , .380
46569.457 ,  1.170 , .430
46570.436 ,  1.460 , .460
46572.456 ,  0.580 , .640
46574.456 ,  4.100 , .590
46576.449 ,  3.310 , .780
46582.437 ,  10.310 , .520
46587.414 ,  12.590 , .520
46595.357 ,  15.960 , .810
46602.395 ,  18.200 , .470
46602.423 ,  17.860 , .470
46611.413 ,  19.290 , .520
46621.389 ,  21.320 , .490
46883.575 ,  4.330 , .680
46886.604 ,  6.730 , .570
46908.527 ,  17.470 , .480
46305.497 ,  20.700 , .480
46316.488 ,  22.340 , .490
48024.672 ,  35.460 , .410
48448.664 ,  16.380 , .310
48449.603 ,  16.360 , .290
48463.505 ,  19.090 , .450
48469.573 ,  21.680 , .310
48696.881 ,  37.040 , .430
48704.848 ,  37.380 , .330
48732.747 ,  1.630 , .320
48871.507 ,  30.790 , .470
48878.514 ,  30.270 , .540
49059.893 ,  14.070 , .310
49066.821 ,  16.650 , .300
49082.824 ,  20.190 , .450
49116.709 ,  25.390 , .340
50524.647 ,  37.252 , .029
50561.530 ,  37.843 , .026
50576.491 ,  20.394 , .027
50587.458 ,  3.679 , .034
50588.455 ,  4.366 , .038
50627.353 ,  21.035 , .028
50837.711 ,  37.502 , .031
50839.715 ,  37.627 , .033
50851.704 ,  38.237 , .031
50852.707 ,  38.283 , .035
50853.704 ,  38.273 , .033
50854.704 ,  38.309 , .030
50857.713 ,  38.417 , .033
50886.622 ,  15.867 , .023
50889.637 ,  5.941 , .036
50890.645 ,  3.907 , .033
51197.874 ,  7.546 , .030
51198.870 ,  5.057 , .030
51200.880 ,  2.391 , .030
51207.859 ,  5.868 , .030
51209.886 ,  7.488 , .030
51211.778 ,  8.883 , .030
