date      , rv     , err
50524.647 , 15.423 , .124
50561.530 , 14.718 , .099
50576.491 , 41.514 , .093
50587.458 , 65.622 , .148
50588.455 , 64.358 , .156
50627.353 , 40.644 , .097
50837.711 , 15.162 , .144
50839.715 , 14.939 , .140
50851.704 , 14.096 , .117
50852.707 , 14.000 , .126
50853.704 , 13.919 , .127
50854.704 , 13.906 , .121
50857.713 , 13.769 , .129
50886.622 , 47.349 , .086
50889.637 , 62.600 , .125
50890.645 , 65.285 , .131
51197.874 , 60.549 , .120
51198.870 , 63.986 , .130
51200.880 , 68.186 , .120
51207.859 , 62.853 , .120
51209.886 , 60.661 , .130
51211.778 , 58.694 , .120
