date, PA, PA_err, rho, rho_err
1949.650 , 160.  ,   . ,  .    ,   .
1952.86  ,     . ,   . , 0.119 ,   .
1952.88  ,     . ,   . , 0.107 ,   .
1953.89  ,     . ,   . , 0.119 ,   .
1955.99  ,     . ,   . , 0.110 ,   .
1959.98  ,  341.9,   . , 0.111 ,   .
1962.01  ,  344.3,   . , 0.117 ,   .
1963.03  ,     . ,   . , 0.113 ,   .
1964.016 ,  161.2,   . , 0.280 ,   .
1976.8571,  139.1,  0.5, 0.168 ,  0.004
1976.9226,  139.6,  0.3, 0.171 ,  0.001
1977.6352,  134.8,   . , 0.150 ,   .
1977.7335,  136.5,  0.4, 0.147 ,  0.009
1977.9164,  130.5,   . , 0.125 ,   .
1978.6154,  128.3,  1.0, 0.108 ,  0.009
1979.7731,  124.0,   . , 0.102 ,   .
1980.7179,  106.0,   . , 0.075 ,   .
1982.7657,   57.8,   . , 0.061 ,   .
1982.852 ,   66.7,  6.5, 0.091 ,  0.010
1984.778 ,   19.2,   . , 0.075 ,   .
1984.9994,  13.7 ,  .  , 0.093 ,   .
1985.748 ,  350.1,   . , 0.08  ,  0.02
1985.8429,    2.2,   . , 0.100 ,   .
1986.8887,  354.6,   . , 0.120 ,   .
1987.7623,  349.1,   . , 0.126 ,   .
1988.6553,  345.3,   . , 0.126 ,   .
1989.7145,  326.9,  2.1, 0.072 ,  0.009
1990.9130,  160.6,   . , 0.137 ,   .
1990.9240,  161.0,   . , 0.138 ,   .
1991.25  ,     . ,   . ,  .    ,   .
1991.7129,  159.0,   . , 0.201 ,   .
1991.7185,  158.9,   . , 0.199 ,   .
1991.7240,  158.8,   . , 0.199 ,   .
1991.7267,  158.3,   . , 0.201 ,   .
1991.8936,  157.7,   . , 0.209 ,   .
1993.8415,  150.6,  1. , 0.279 ,  0.005
1993.9197,  155.3,   . , 0.277 ,   .
1994.7085,  154.5,   . , 0.291 ,   .
1995.9182,  153.3,   . , 0.296 ,   .
1996.6940,  154.3,   . , 0.300 ,   .
1997.8241,  153.3,   . , 0.291 ,   .
1997.8296,     . ,   . ,  .    ,   .
1997.8296,  151.2,   . , 0.298 ,   .
1998.7773,     . ,   . ,  .    ,   .
1998.7773,  151.0,  0.5, 0.285 ,  0.002
1999.7228,  149.0,   . , 0.288 ,   .
1999.7258,  148.9,   . , 0.282 ,   .
1999.7732,     . ,   . ,  .    ,   .
1999.7732,  329.1,   . , 0.27  ,   .
1999.7814,     . ,   . ,  .    ,   .
1999.7814,  323.9,   . , 0.27  ,   .
1999.8882,     . ,   . ,  .    ,   .
1999.8882,  149.0,   . , 0.274 ,   .
2000.7648,     . ,   . ,  .    ,   .
2000.7648,  148.7,   . , 0.266 ,   .
2000.953 ,  147.4,  0.5, 0.263 ,  0.006
2000.953 ,     . ,   . ,  .    ,   .
2000.953 ,     . ,   . ,  .    ,   .
2000.953 ,     . ,   . ,  .    ,   .
2000.953 ,     . ,   . ,  .    ,   .
2000.953 ,     . ,   . ,  .    ,   .
2000.953 ,     . ,   . ,  .    ,   .
2001.8649,  326.9,   . , 0.266 ,   .
2001.8649,     . ,   . , 0.266 ,   .
2001.8649,  340.4,   . , 0.259 ,   .
2001.8680,  133.4,   . , 0.23  ,   .
2001.8785,  333.8,   . , 0.274 ,   .
2001.8785,  324.3,   . , 0.286 ,   .
2001.8839,  149.6,   . , 0.237 ,   .
2001.8839,     . ,   . , 0.266 ,   .
2001.8840,  144.6,   . , 0.245 ,   .
2001.8894,  325.1,   . , 0.267 ,   .
2007.813 ,  129.5,  0.1, 0.1174,  0.0001
2007.8256,  310.7,   . , 0.123 ,   .
2008.5462,  124.5,  0.1, 0.1036,  0.0001
2008.5462,  124.5,  0.0, 0.1038,  0.0000
2008.6060,  124.0,  0.1, 0.1023,  0.0001
2008.6060,  124.0,  0.1, 0.1017,  0.0001
2008.7727,  122.8,  0.1, 0.0984,  0.0001
2008.7727,  122.4,  0.1, 0.0963,  0.0010
2009.6710,  112.5,   . , 0.0771,  0.0002
2009.6710,  111.9,   . , 0.0786,  0.0007
2010.0073,     . ,   . ,  .    ,   .
2010.0073,  106.8,   . , 0.0714,   .
2014.0427,   11.1,  0.5, 0.0821,  0.0010
