date, PA, rho
1830.59, 163.5, 1.68
1833.67, 158.6, 1.61
1847.91, 162.7, 1.58
1869.99, 155.3, 1.76
1879.61, 155.7, 1.91
1894.50, 153.8, 1.65
1902.74, 149.7, 1.40
1904.91, 147.6, 1.26
1910.84, 142.3, 1.41
1911.740, 144.9, 1.38
1912.96, 147.3, 1.36
1914.75, 143.6, 1.36
1914.79, 143.4, 1.38
1921.79, 143.6, 1.16
1923.30, 140.6, 1.10
1924.94, 140.8, 1.24
1927.79, 140.8, 1.27
1937.90, 137.2, 1.02
1944.64, 133.6, 1.16
1948.86, 125.1, 1.02
1949.757, 131.22, 0.855
1954.81, 127.6, 0.77
1956.08, 127.6, 0.82
1956.69, 128.8, 0.76
1956.93, 127.0, 0.78
1958.08, 125.6, 0.65
1958.08, 135.0, 0.81
1958.08, 126.0, 0.80
1958.98, 126.6, 0.74
1959.08, 125.0, 0.71
1959.08, 122.0, 0.66
1959.43, 122.1, 0.72
1959.638, 125.6, 0.84
1959.87, 123.7, 0.73
1959.933, 124.6, 0.95
1961.81, 120.3, 0.70
1962.79, 120.9, 0.70
1962.874, 122.8, 0.59
1963.00, 124.7, 0.69
1966.798, 118.1, 0.65
1967.445, 114.5, 0.61
1967.728, 117.1, 0.49
1969.10, 113.2, 0.56
1970.837, 108.2, 0.54
1971.85, 108.1, 0.40
1971.99, 108.2, 0.45
1973.231, 100.5, 0.48
1973.749, 100.6, 0.76
1975.851, 94.6, 0.41
1976.84, 98.0, 0.37
1979.554, 83.9, 0.28
1979.84, 80.7, 0.31
1980.90, 77.1, 0.25
1981.82, 68.0, 0.20
1981.867, 64.6, 0.26
1982.81, 61.6, 0.21
1982.95, 59.1, 0.21
1983.83, 52.8, 0.19
1983.89, 50.1, 0.23
1983.95, 47.2, 0.22
1984.86, 39.0, 0.21
1984.89, 47.5, 0.20
1986.81, 29.0, 0.15
1986.81, 10.8, 0.225
1988.88, 358.1, 0.14
1989.804, 325.6, 0.19
1991.002, 311.1, 0.20
