date, rv1, rv2
7043.7935, 13.88, 6.09
7076.7911, 13.66, 5.81
7170.5364, 15.29, 6.58
7461.8172, 12.07, 3.34
7484.5850, 13.41, 4.05
7515.6708, 12.99, 3.84
7540.6349, 13.22, 4.04
7583.4778, 13.83, 5.54
7602.5103, 14.14, 5.89
7725.8364, 14.30, 3.00
7748.8655, 13.55, 4.47
7775.6457, 12.63, 4.87
7804.7272, 12.01, 6.12
7837.7364, 11.81, 4.61
7866.7487, 13.34, 4.90
7905.4838, 13.19, 4.67
7930.6320, 13.48, 3.90
7935.6027, 13.08, 5.05
8499.7100, 13.68, 4.51
8857.7321, 11.77, 5.91
9209.7078, 12.17, 7.22
9588.7955, 11.91, 5.89
9610.7749, 12.48, 5.64
9625.8692, 12.53, 6.43
